page_id	visual_resolution	note
p0162	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0165	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0169	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0172	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0173	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0182	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0183	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0190	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0193	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0200	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0201	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0203	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0204	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0207	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0213	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0214	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0217	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0220	false-empty-recovery	visual review: populated mounted board with substantive handwritten slips despite empty baseline OCR
p0221	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0225	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0227	false-empty-recovery	visual review: several substantive mounted slips including a diagrammatic note; complete baseline OCR false negative
p0228	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0231	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0232	false-empty-recovery	visual review: two substantive mounted slips; complete baseline OCR false negative
p0234	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
p0237	blank-no-substantive	visual review: no substantive text; blank card/folder/separator or empty mounted field
